transaction_id,city,customer_id,branch_code,amount,currency,date,status,channel,device_type,attempt_count
TXN199946,kashmir,CUST7027,KASB02,5010.66,INR,2025-05-05,passed,branch,android,3
TXN597856,kashmir,CUST9721,KASB02,2913.98,USD,2025-05-06,failed,branch,android,1
TXN710282,kashmir,CUST7356,KASB02,9906.3,EUR,2025-05-05,,mobile,android,5
TXN152226,kashmir,CUST1556,KASB02,5892.93,EUR,2025-05-05,passed,mobile,android,4
TXN376979,kashmir,CUST2183,KASB02,3093.43,INR,2025-05-06,passed,branch,android,1
TXN920369,kashmir,CUST3230,KASB02,563.89,USD,2025-05-04,failed,online,android,5
TXN164338,kashmir,CUST1363,KASB02,6421.91,EUR,2025-05-03,,branch,web,4
TXN560835,kashmir,CUST5499,KASB02,5733.98,INR,2025-05-05,passed,online,android,3
TXN919825,kashmir,CUST6620,KASB02,8586.55,INR,2025-05-08,failed,mobile,web,3
TXN912715,kashmir,CUST4097,KASB02,7431.72,USD,2025-05-08,passed,online,ios,5
TXN268657,kashmir,CUST6911,KASB02,7171.49,USD,2025-05-07,failed,mobile,web,4
TXN607260,kashmir,CUST8224,KASB02,3431.18,INR,2025-05-04,failed,mobile,web,4
TXN561453,kashmir,CUST2943,KASB02,3568.64,EUR,2025-05-03,,online,android,2
TXN743502,kashmir,CUST1074,KASB02,4955.74,EUR,2025-05-07,failed,online,android,4
TXN509893,kashmir,CUST2529,KASB02,549.89,EUR,2025-05-05,,online,ios,2
TXN423459,kashmir,CUST8688,KASB02,609.67,USD,2025-05-02,passed,branch,web,2
TXN415792,kashmir,CUST2427,KASB02,8298.4,USD,2025-05-05,failed,branch,web,3
TXN155347,kashmir,CUST8404,KASB02,6747.18,EUR,2025-05-07,passed,branch,android,3
TXN505473,kashmir,CUST9050,KASB02,8849.14,INR,2025-05-04,passed,branch,web,2
TXN730210,kashmir,CUST4374,KASB02,8132.85,INR,2025-05-06,failed,online,android,2
TXN451893,kashmir,CUST9937,KASB02,9797.25,EUR,2025-05-07,,mobile,android,3
TXN690099,kashmir,CUST2459,KASB02,537.52,USD,2025-05-03,passed,mobile,web,5
TXN471406,kashmir,CUST3270,KASB02,3889.34,EUR,2025-05-04,failed,online,android,3
TXN254921,kashmir,CUST3085,KASB02,3396.01,USD,2025-05-04,failed,mobile,web,5
TXN319924,kashmir,CUST8783,KASB02,8798.84,USD,2025-05-08,failed,mobile,android,5
TXN814071,kashmir,CUST6743,KASB02,6940.96,EUR,2025-05-04,,online,ios,5
TXN876583,kashmir,CUST3009,KASB02,1957.13,USD,2025-05-02,,mobile,web,5
TXN720399,kashmir,CUST3915,KASB02,5931.6,INR,2025-05-08,,online,web,5
TXN381667,kashmir,CUST3558,KASB02,6006.71,USD,2025-05-05,failed,online,web,3
TXN295484,kashmir,CUST4408,KASB02,7500.86,USD,2025-05-07,,mobile,ios,4
TXN112909,kashmir,CUST3803,KASB02,1617.0,INR,2025-05-07,passed,branch,ios,3
TXN784843,kashmir,CUST4410,KASB02,3078.05,USD,2025-05-06,,online,android,4
TXN356358,kashmir,CUST3766,KASB02,8309.19,USD,2025-05-08,passed,branch,web,5
TXN607325,kashmir,CUST4256,KASB02,6501.22,EUR,2025-05-08,failed,mobile,android,2
TXN866551,kashmir,CUST2182,KASB02,7174.93,USD,2025-05-02,,mobile,web,5
TXN353156,kashmir,CUST6603,KASB02,4919.44,INR,2025-05-03,failed,branch,ios,2
TXN244013,kashmir,CUST5661,KASB02,4861.9,EUR,2025-05-06,failed,mobile,web,5
TXN215738,kashmir,CUST3189,KASB02,5738.69,EUR,2025-05-03,failed,online,ios,4
TXN513749,kashmir,CUST8280,KASB02,3889.24,INR,2025-05-02,passed,branch,android,4
TXN169066,kashmir,CUST1467,KASB02,8057.33,EUR,2025-05-05,passed,mobile,web,4
TXN683767,kashmir,CUST3484,KASB02,817.95,INR,2025-05-04,passed,branch,ios,5
TXN591923,kashmir,CUST4219,KASB02,7412.65,EUR,2025-05-03,,branch,android,5
TXN863249,kashmir,CUST4300,KASB02,2572.98,USD,2025-05-08,failed,branch,ios,2
TXN277741,kashmir,CUST1517,KASB02,9988.36,USD,2025-05-02,,branch,ios,4
TXN891257,kashmir,CUST4427,KASB02,2659.37,USD,2025-05-08,passed,branch,android,4
TXN158063,kashmir,CUST5579,KASB02,7620.2,INR,2025-05-05,passed,mobile,web,5
TXN914931,kashmir,CUST2359,KASB02,9615.33,USD,2025-05-06,passed,online,web,4
TXN120145,kashmir,CUST2359,KASB02,1195.3,EUR,2025-05-02,failed,branch,ios,4
TXN659251,kashmir,CUST2200,KASB02,4526.59,INR,2025-05-04,,mobile,web,5
TXN445898,kashmir,CUST6030,KASB02,1786.97,EUR,2025-05-07,passed,online,web,2
TXN590981,kashmir,CUST1983,KASB02,5860.67,INR,2025-05-04,passed,online,ios,1
TXN217229,kashmir,CUST6303,KASB02,7630.32,USD,2025-05-07,,online,android,3
TXN135278,kashmir,CUST6889,KASB02,8015.84,INR,2025-05-03,passed,branch,ios,4
TXN665097,kashmir,CUST2014,KASB02,2610.0,INR,2025-05-06,,online,ios,5
TXN241510,kashmir,CUST2171,KASB02,7192.6,USD,2025-05-05,passed,mobile,web,1
TXN541860,kashmir,CUST1756,KASB02,1709.29,INR,2025-05-02,failed,online,web,3
TXN687777,kashmir,CUST5941,KASB02,5458.79,EUR,2025-05-08,failed,mobile,android,5
TXN760648,kashmir,CUST9446,KASB02,9597.43,USD,2025-05-02,failed,mobile,web,1
TXN433606,kashmir,CUST6881,KASB02,4047.93,EUR,2025-05-05,,mobile,web,5
