transaction_id,city,customer_id,branch_code,amount,currency,date,status,channel,device_type,attempt_count
TXN250306,mumbai,CUST9025,MUMB02,9596.05,USD,2025-05-07,,online,android,1
TXN468704,mumbai,CUST7967,MUMB02,9011.69,EUR,2025-05-04,failed,online,android,5
TXN211717,mumbai,CUST2371,MUMB02,1464.19,INR,2025-05-05,,branch,android,1
TXN213623,mumbai,CUST4844,MUMB02,7801.0,EUR,2025-05-04,passed,branch,ios,2
TXN559171,mumbai,CUST5364,MUMB02,705.16,EUR,2025-05-07,passed,mobile,android,1
TXN336266,mumbai,CUST4461,MUMB02,7909.65,EUR,2025-05-07,,online,web,2
TXN352483,mumbai,CUST3872,MUMB02,8198.38,INR,2025-05-04,failed,branch,ios,1
TXN242875,mumbai,CUST3338,MUMB02,7865.3,EUR,2025-05-06,passed,branch,android,1
TXN634016,mumbai,CUST3068,MUMB02,7075.4,USD,2025-05-03,,online,web,1
TXN104716,mumbai,CUST5612,MUMB02,1118.33,USD,2025-05-04,passed,mobile,ios,2
TXN153515,mumbai,CUST6559,MUMB02,9126.72,EUR,2025-05-08,,mobile,ios,5
TXN480487,mumbai,CUST9804,MUMB02,462.51,EUR,2025-05-06,,branch,ios,2
TXN210730,mumbai,CUST6021,MUMB02,5244.69,EUR,2025-05-02,passed,online,web,4
TXN505657,mumbai,CUST1898,MUMB02,1632.34,USD,2025-05-04,,mobile,ios,3
TXN463725,mumbai,CUST6757,MUMB02,6790.02,USD,2025-05-08,passed,online,android,5
TXN956039,mumbai,CUST7299,MUMB02,2076.81,USD,2025-05-03,,mobile,ios,1
TXN265520,mumbai,CUST8333,MUMB02,3083.99,EUR,2025-05-05,,mobile,ios,3
TXN624100,mumbai,CUST6252,MUMB02,5574.35,EUR,2025-05-08,failed,branch,android,1
TXN836178,mumbai,CUST1657,MUMB02,7789.75,USD,2025-05-05,failed,mobile,android,3
TXN367220,mumbai,CUST4645,MUMB02,6243.94,USD,2025-05-07,failed,branch,web,1
TXN760088,mumbai,CUST4300,MUMB02,9467.22,INR,2025-05-08,passed,mobile,web,4
TXN874396,mumbai,CUST2090,MUMB02,9344.87,USD,2025-05-08,failed,online,ios,5
